second,duration,transcript
224.2,3.96,"The message that the front end sends
to the backend is known as a request,"
228.49,4.53,"and the message that the backend sends
back is known as a response. This is"
233.02,2.07,"called a request response cycle,"
235.45,4.11,"and this is generally how web
applications work. Here's another example."
239.92,2.04,"Let's say that you're
in the Amazon warehouse."
242.32,3.78,"The warehouse might have a different
front end that sends a request to the"
246.11,1.58,backend to get our order.
248.14,3.78,"The backend then gets our order from
the database and sends it back to the"
251.92,3.33,"warehouse front end, and then they
go ahead and prepare our order."
256.33,1.86,"Now that we've seen the overall flow,"
258.49,3.27,"we're going to dive deeper and take
a look at what's inside a request."
262.27,3.48,"Here's a simplified example of a
request to create an Amazon order."
266.41,3.42,"If we read over it, we can see that
it's actually really easy to understand."
270.22,1.56,"We have the items that we ordered,"
272.08,4.62,"the quantities and some other information
about our Amazon order. At the top,"
276.7,2.94,"we have the type of the
request, the domain name,"
279.76,4.89,"and the URL path. This describes where
this request is going and what type of"
284.65,3.45,"request This is. First of all, Amazon."
288.1,3.18,"The company has bought the
domain name amazon.com,"
291.7,4.11,"and they configured it so that any
request going to amazon.com will be"
295.82,2.45,"redirected to that server
in their office building."
298.6,3.06,"So that's why we're sending
this request to amazon.com."
302.29,4.71,"The type and the URL path. Identify
what kind of request this is."
307.51,4.77,"So in this example, this is a post
request to slash orders. In the backend,"
312.28,3.69,"we use our programming language and
backend framework to define what types of"
315.98,3.56,"requests are allowed and how we should
handle these requests. For example,"
319.54,2.82,"we can allow a post slash orders request,"
322.57,2.37,"and whenever we get a
post slash orders request,"
325.06,3.87,"we will create an order using our
programming language and save it to our"
328.93,4.26,"database. We can also allow a get
slash order request, and in this case,"
333.19,4.2,"we will retrieve the order history
from the database and send it back as a"
337.4,4.7,"response. Another example is a delete
slash order request where we will cancel"
342.1,0.833,the order.
343.06,4.02,"So this list of all the different types
of requests that the backend allows is"
347.08,3.75,"called an a API application
programming interface."
351.28,3.33,"The API is one of the most important
concepts in backend programming."
355.03,2.74,"If you send a request that
is not allowed by the api,"
357.98,1.8,the backend will respond with an error.
360.59,4.8,"So we mentioned earlier that we can
identify requests using a type and a URL"
365.4,3.89,"path. There are several types we
can choose from, such as post get,"
369.3,3.56,"put and delete, and the URL
path can be anything we want."
373.55,3.12,"So why in this example do
we choose post slash orders?"
377.27,2.7,"This is just a naming
convention for our requests,"
380.3,4.5,"and this naming convention is called
rest representational state transfer."
385.34,2.76,"In rest, the type of the
request has a special meaning."
388.4,2.79,"So post means to create
something, and in this case,"
391.19,4.2,"post slash orders means to create an
order, get means to get something,"
395.57,4.59,"and delete means to delete something
and so on. An API that uses the"
400.17,3.53,"REST naming convention
is called a REST api."
404.27,2.85,"REST is the most common convention
that we use for our APIs,"
407.45,2.43,"but there are several other
conventions that we could use."
410.33,1.83,"One of them is called GraphQL,"
412.19,3.6,"which uses Post slash GraphQL
for all of our requests,"
416.24,2.04,"and another one is called rpc,"
418.58,3.12,"which uses post and a
more detailed D URL path,"
421.7,4.74,"like post slash create order or
post slash get order history."
427.1,4.8,"So that is what a request is when
an API is and what rest means. Now,"
431.9,2.43,let's talk about infrastructure nowadays.
434.33,3.48,"Instead of company's purchasing their
own computers to run their websites,"
438.17,3.21,"they rent computers from
a cloud computing company."
441.77,4.32,"The biggest cloud computing companies
are aws, Amazon Web Services,"
446.82,3.08,"gcp, Google Cloud platform,
and Microsoft Azure."
450.35,3.51,"The basic idea of cloud computing is
you're renting a bunch of computers."
454.31,4.92,"This is also known as IAS infrastructure
as a service. Behind the scenes,"
460.19,4.38,"AWS has a giant powerful
computer, and inside its software,"
464.58,1.85,"it's running many smaller computers,"
466.55,2.91,"and we're actually renting one
of these smaller computers,"
470.09,2.61,"and these smaller computers
only exist in these software,"
472.94,4.41,"so we call them virtual machines
or VMs. So to run our website,"
477.38,3.39,"we rent a VM from AWS to run our backend,"
481.04,2.88,"and we also rent another
VM to run our database."
484.55,3.75,"Another problem we have to solve is
what if our website gets really popular"
488.3,3.48,"during the holiday season and we start
getting a lot of requests and internet"
491.78,3.48,"traffic that our server can't
handle. With cloud computing,"
495.29,4.35,"we can set up multiple VMs running these
same backend code and then set up a"
499.65,2.9,"special VM in front of these
called a load balancer,"
503.03,3.6,"and the load balancer will distribute
requests evenly across our VMs."
507.08,1.5,"Once a holiday season is over,"
508.58,4.38,"we can just shut off our VMs when we
don't need them. This is a lot easier than"
512.96,3.66,"having to buy physical computers
where if the holiday season is over,"
516.8,2.79,"you still have the physical
computers that you paid for,"
520.01,1.32,but we still have another problem.
521.78,3.09,"We now have a lot of VMs that
we need to create and set up,"
524.99,1.74,and it takes a lot of time and effort.
527.3,4.83,"Cloud computing companies offer another
service called a PAs a platform As a"
532.13,3.73,"service, a PAs just lets
us upload our backend code."
536.22,2.67,"It will set up all the VMs
including the load balancer,"
538.89,1.53,and integrate everything for us.
540.93,4.92,"The three most popular paths are
Elastic Beanstalk for AWS App Engine for"
546.0,3.21,GCP and App Service for Microsoft Azure.
549.84,2.88,"The next concept we're going
to look at is microservices."
553.2,1.44,"For our Amazon example,"
554.76,3.75,"let's say that our backend contains code
that saves an order to the database,"
558.87,1.56,"charges the user's credit card,"
560.49,3.27,"and sends an email confirmation.
In the real world,"
563.77,2.45,"this backend can be
millions of lines of code."
566.55,2.61,So we split this up into three code bases.
569.43,2.88,"Then each of these code bases
will have their own backend,"
572.64,3.12,"each with the load balancer and
sometimes their own database."
576.06,1.62,"Then when we need to send an email,"
577.98,3.69,"our orders backend will send a
request to the email backend,"
581.88,1.08,which will send the email.
583.35,3.93,"So splitting up our backend into
separate backends like this is called"
587.31,4.65,"microservices, and it helps keep our
code base smaller and more focused."
592.44,3.15,"Each microservice does not have to
use the same programming language and"
595.59,0.833,database.
596.49,4.08,"One microservice can be using JavaScript
and MongoDB while another microservice"
600.57,4.38,"can be using Python and MySQL.
Now, to make this even easier,"
605.22,3.78,"there are companies out there like
Twilio who have already created an email"
609.0,0.833,service.
609.87,4.83,"So Twilio provides a backend and an API
for sending emails. So instead of us"
614.7,2.13,"creating our own email microservice,"
617.16,2.91,"our backend can just send
requests to Twilio's backend."
620.52,4.65,"When a company provides a backend and an
API that outside applications can use,"
625.5,2.97,"this is called a SaaS,
software as a service."
628.86,2.73,"Pretty much everything you do in
the backend that's complicated."
631.89,3.6,"This probably a SaaS company out there
that already provides that service,"
635.7,3.57,"and you can just use that service instead
of building your own microservice."
639.87,3.51,"So these three concepts we just looked
at, infrastructure as a service,"
644.2,0.833,"platforms as a service,"
645.24,4.05,"and software as a service are the
three foundations of cloud computing."
649.77,0.6,"These days,"
650.37,4.29,"most companies use cloud computing to run
the backend for their websites instead"
654.66,4.32,"of buying and managing physical servers
themselves. In this last section,"
659.01,3.48,"I want to introduce some additional
technologies you might see in the backend."
662.79,3.05,"Previously, we mentioned the
databases, MySQL, Postgres,"
665.84,4.3,"and MongoDB. These are sometimes called
primary databases because they're the"
670.15,2.99,"main database that our
website uses. Generally,"
673.15,4.4,"we start our backend with a server and
a primary database and then bring in"
677.55,2.04,"these additional
technologies if we need to,"
680.55,2.19,if we allow our users to upload images.
683.13,2.58,"A primary database is not
good for storing images,"
685.74,3.22,"so we would use a blob store like aws, s3,"
689.31,4.38,"and a CDN like CloudFront to store
and load user uploaded images"
694.23,1.98,if we want to allow text search.
696.22,3.14,"Primary databases are
very slow at text search,"
699.66,3.54,"so we would bring in a search
database like Elastic Search."
703.71,3.45,"If our website is getting a lot of traffic
and we need to take some stress off"
707.16,4.92,"our primary database, we would add a
cache like Redis to improve performance."
712.71,0.16,If.
712.87,1.26,"We want to do data science,"
714.31,3.42,"we don't want to do the data
analysis using our primary database."
718.03,1.35,It's busy running our website.
719.77,4.29,"So we would copy all of our data into
an analytical database like Snowflake,"
724.33,2.82,"which is really good for doing
data science on the side."
727.87,2.97,"If you want to schedule a
task for later. For example,"
730.87,3.69,"Amazon might want to email their users
before their Amazon Prime subscription"
734.56,0.66,renews.
735.22,4.59,"We would use a job queue like Rabbit MQ
to schedule this task for the future,"
740.32,3.45,"and there's a bunch more technologies
like these out there that are made to"
743.77,1.77,solve specific problems.
745.96,3.39,"So these are all the backend technologies
that we covered in this video."
749.95,1.08,"If you're just starting out,"
751.18,2.88,"you mostly just need to know
how to use cloud computing,"
754.45,2.52,a backend framework in a primary database.
757.45,3.12,"These other technologies are
things that you may or may not use."
760.78,3.33,"You would add them to your backend
depending on what kind of website and"
764.12,2.57,"features you're trying to
make. Thanks for watching."
766.69,2.19,My name is Simon from Super simple.dev.
768.97,2.22,"I want to make a tech
career possible for anyone."
771.7,1.56,"If you have any questions or comments,"
773.44,2.91,"please leave them down below and
I'll see you in the next one."
